Date,ZM
1/10/2020,73.089996
1/13/2020,74.029999
1/14/2020,73.160004
1/15/2020,76.940002
1/16/2020,76.110001
1/17/2020,75.559998
1/21/2020,76.730003
1/22/2020,75.540001
1/23/2020,74.470001
1/24/2020,73
1/27/2020,70.440002
1/28/2020,71.510002
1/29/2020,73.580002
1/30/2020,74.540001
1/31/2020,76.300003
2/3/2020,87.660004
2/4/2020,85.790001
2/5/2020,86.989998
2/6/2020,87.260002
2/7/2020,88.639999
2/10/2020,89.669998
2/11/2020,88.68
2/12/2020,88.279999
2/13/2020,89.860001
2/14/2020,90.949997
2/18/2020,96.389999
2/19/2020,103.93
2/20/2020,105.290001
2/21/2020,101.760002
2/24/2020,105.010002
2/25/2020,107.080002
2/26/2020,106.879997
2/27/2020,113.550003
2/28/2020,105
3/2/2020,113.110001
3/3/2020,117.470001
3/4/2020,116.800003
3/5/2020,125
3/6/2020,114.32
3/9/2020,113.75
3/10/2020,108.489998
3/11/2020,110.300003
3/12/2020,109.470001
3/13/2020,107.470001
3/16/2020,107.860001
3/17/2020,111.099998
3/18/2020,118.709999
3/19/2020,123.769997
3/20/2020,130.550003
3/23/2020,159.559998
3/24/2020,135.179993
3/25/2020,138.110001
3/26/2020,141.149994
3/27/2020,151.699997
3/30/2020,150.880005
3/31/2020,146.119995
4/1/2020,137
4/2/2020,121.93
4/3/2020,128.199997
4/6/2020,122.940002
4/7/2020,113.75
4/8/2020,117.809998
4/9/2020,124.510002
4/13/2020,135.919998
4/14/2020,141.889999
4/15/2020,151.559998
4/16/2020,150.259995
4/17/2020,150.059998
4/20/2020,148.990005
4/21/2020,143.270004
4/22/2020,150.25
4/23/2020,169.089996
4/24/2020,158.800003
4/27/2020,164.600006
4/28/2020,156.720001
4/29/2020,146.479996
4/30/2020,135.169998
5/1/2020,138.559998
5/4/2020,143.440002
5/5/2020,144.820007
5/6/2020,149.589996
5/7/2020,157.800003
5/8/2020,155.399994
5/11/2020,166.479996
5/12/2020,161.039993
5/13/2020,167.139999
5/14/2020,167.910004
5/15/2020,174.830002
5/18/2020,164.690002
5/19/2020,173.679993
5/20/2020,175.479996
5/21/2020,172.029999
5/22/2020,171.059998
5/26/2020,164
5/27/2020,161.970001
5/28/2020,163.550003
5/29/2020,179.479996
6/1/2020,204.149994
6/2/2020,208.080002
6/3/2020,223.869995
6/4/2020,210.350006
6/5/2020,207.600006
6/8/2020,209.830002
6/9/2020,205.429993
6/10/2020,221.020004
6/11/2020,222.070007
6/12/2020,219.520004
6/15/2020,239.020004
6/16/2020,242.559998
6/17/2020,236.759995
6/18/2020,241.570007
6/19/2020,243.479996
6/22/2020,251.270004
6/23/2020,252.809998
6/24/2020,255.899994
6/25/2020,259.51001
6/26/2020,256.799988
6/29/2020,248.559998
6/30/2020,253.539993
7/1/2020,259.130005
7/2/2020,261.73999
7/6/2020,261
7/7/2020,262.100006
7/8/2020,266.320007
7/9/2020,269.519989
7/10/2020,275.869995
7/13/2020,260.299988
7/14/2020,260.01001
7/15/2020,256.220001
7/16/2020,248.539993
7/17/2020,246.539993
7/20/2020,268.579987
7/21/2020,260.440002
7/22/2020,261.179993
7/23/2020,251.5
7/24/2020,246.559998
7/27/2020,252.330002
7/28/2020,252.179993
7/29/2020,252.389999
7/30/2020,250
7/31/2020,253.910004
8/3/2020,268
8/4/2020,267.339996
8/5/2020,272.899994
8/6/2020,268.25
8/7/2020,258.730011
8/10/2020,250
8/11/2020,231.039993
8/12/2020,236.720001
8/13/2020,247.25
8/14/2020,244.910004
8/17/2020,266.149994
8/18/2020,276.799988
8/19/2020,273.51001
8/20/2020,290.690002
8/21/2020,289.679993
8/24/2020,282.279999
8/25/2020,290.440002
8/26/2020,295.269989
8/27/2020,294.679993
8/28/2020,299.269989
8/31/2020,325.100006
9/1/2020,457.690002
9/2/2020,423.559998
9/3/2020,381.320007
9/4/2020,369.890015
9/8/2020,350.880005
9/9/2020,389.649994
9/10/2020,384.480011
9/11/2020,383
9/14/2020,403.51001
9/15/2020,410.940002
9/16/2020,408.170013
