n,wo_control_time,wo_control_price,wo_control_standard_error,w_control_time,w_control_price,w_control_standard_error,w_control_rho
50000,0.137,7.10274,0.0384534,0.192,7.25914,0.0011538,0.999529
100000,0.278,7.13287,0.0274397,0.356,7.13506,0.000810788,0.999591
500000,1.37,7.15331,0.0123001,1.626,7.2211,0.000363586,0.999565
1000000,2.743,7.15304,0.00867657,3.196,7.17681,0.000256972,0.999567
5000000,13.635,7.17098,0.00388433,18.675,7.11658,0.000114483,0.999532
10000000,36.023,7.16277,0.00274613,39.584,7.19908,8.11739e-05,0.999572
